Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-01,6931,monthly,475619,893279,568911,487710,421834,01/01/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-02,7108,monthly,476717,887959,563242,482631,427256,01/02/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-03,8659,monthly,475442,893859,566834,485460,422917,01/03/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-04,7120,monthly,479790,899133,567701,488136,428541,01/04/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-05,7874,monthly,480902,890430,571569,487874,430111,01/05/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-06,9192,monthly,480152,890539,569116,490877,428001,01/06/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-07,8494,monthly,488527,903023,582307,499705,434837,01/07/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-08,8921,monthly,487085,904655,579880,501173,432209,01/08/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-09,8239,monthly,483833,913220,578519,496318,428892,01/09/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-10,7990,monthly,481762,908782,580410,494013,426315,01/10/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-11,7629,monthly,476290,892900,573421,488341,421807,01/11/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-12,7883,monthly,476848,899100,573194,489692,421917,01/12/2017
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-01,6584,monthly,479772,895602,576870,490615,425766,01/01/2018
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-02,6386,monthly,477860,898057,574508,489511,423537,01/02/2018
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-03,7350,monthly,472357,890041,572169,487242,416546,01/03/2018
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-04,6511,monthly,477253,898928,579191,493274,420315,01/04/2018
