,Area,Year,Value,pct_ch,log_value,logpct_ch
2533,Haringey,2009,250000,0.0,12.429216196844383,0.0
2713,Haringey,2010,290000,15.999999999999993,12.577636201962656,1.1941220006773667
2893,Haringey,2011,303000,4.482758620689653,12.621488084491506,0.34864963356155965
3073,Haringey,2012,315000,3.960396039603964,12.66032791780777,0.30772784521333474
3253,Haringey,2013,339800,7.873015873015876,12.736112488219968,0.5985987954198357
3433,Haringey,2014,405000,19.18775750441437,12.911642346088676,1.3782059323915519
3613,Haringey,2015,439498,8.518024691358029,12.993388445471304,0.6331192980062017
3793,Haringey,2016,460000,4.664867644448889,13.038981768465277,0.3508963284312827
3973,Haringey,2017,540000,17.391304347826097,13.199324418540456,1.229717572448541
2174,Harrow,2007,280000,,12.542544882151386,
2354,Harrow,2008,275000,-1.7857142857142905,12.524526376648708,-0.1436590873062693
2534,Harrow,2009,250000,-9.090909090909093,12.429216196844383,-0.7609882955895708
2714,Harrow,2010,291000,16.39999999999999,12.581078546153629,1.2218175861145708
2894,Harrow,2011,294000,1.0309278350515427,12.591335046320818,0.08152321861407685
3074,Harrow,2012,302000,2.7210884353741527,12.618182296357007,0.21322004328709898
3254,Harrow,2013,325000,7.615894039735105,12.691580461311874,0.5816857232761485
3434,Harrow,2014,370000,13.846153846153841,12.821258284620408,1.0217626063502072
3614,Harrow,2015,400000,8.108108108108114,12.89921982609012,0.608064666813779
3794,Harrow,2016,460000,14.999999999999991,13.038981768465277,1.0834914379276972
3974,Harrow,2017,500000,8.695652173913038,13.122363377404328,0.6394794503103762
2175,Havering,2007,222500,,12.312682380588432,
2355,Havering,2008,222500,0.0,12.312682380588432,0.0
2535,Havering,2009,200000,-10.1123595505618,12.206072645530174,-0.8658530429269784
2715,Havering,2010,221000,10.499999999999998,12.30591798049989,0.8179972204759745
2895,Havering,2011,220000,-0.4524886877828038,12.301382825334498,-0.0368534486624994
3075,Havering,2012,221000,0.454545454545463,12.30591798049989,0.036867035436483064
3255,Havering,2013,232250,5.090497737556565,12.355569656676085,0.40347803597320375
3435,Havering,2014,250000,7.642626480086112,12.429216196844383,0.5960594469920144
3615,Havering,2015,287500,14.999999999999991,12.568978139219542,1.124463040643242
3795,Havering,2016,332000,15.478260869565208,12.712890247898626,1.1449785900257803
3975,Havering,2017,350000,5.421686746987953,12.765688433465597,0.415312210971841
2176,Hillingdon,2007,245000,,12.409013489526863,
2356,Hillingdon,2008,245000,0.0,12.409013489526863,0.0
