,id,Year,Borough,Frequency
397,13,2014,Harrow,12299
398,14,2014,Havering,15244
399,15,2014,Hillingdon,21633
400,16,2014,Hounslow,20362
401,17,2014,Islington,25694
402,18,2014,Kensington and Chelsea,18460
403,19,2014,Kingston upon Thames,9582
404,20,2014,Lambeth,33092
405,21,2014,Lewisham,21838
406,22,2014,Merton,11917
407,23,2014,Newham,28826
408,24,2014,Redbridge,20315
409,25,2014,Richmond upon Thames,10717
410,26,2014,Southwark,29870
411,27,2014,Sutton,10787
412,28,2014,Tower Hamlets,26723
413,29,2014,Waltham Forest,20891
414,30,2014,Wandsworth,21999
415,31,2014,Westminster,49225
416,32,2014,London,16228
417,33,2014,London,23035
418,34,2014,London,12204
419,35,2014,London,25211
420,36,2014,London,20185
421,37,2014,London,27939
422,38,2014,London,28347
423,39,2014,London,25712
424,40,2014,London,22412
425,41,2014,London,20624
426,42,2014,London,25200
427,43,2014,London,19752
428,44,2014,London,23549
429,45,2014,London,12299
430,46,2014,London,15244
431,47,2014,London,21633
432,48,2014,London,20362
433,49,2014,London,25694
434,50,2014,London,18460
435,51,2014,London,9582
436,52,2014,London,33092
437,53,2014,London,21838
438,54,2014,London,11917
439,55,2014,London,28826
440,56,2014,London,20315
441,57,2014,London,10717
442,58,2014,London,29870
443,59,2014,London,10787
444,60,2014,London,26723
445,61,2014,London,20891
446,62,2014,London,21999
447,63,2014,London,49225
448,0,2015,Barking and Dagenham,17180
449,1,2015,Barnet,24623
450,2,2015,Bexley,12346
451,3,2015,Brent,25628
452,4,2015,Bromley,21100
453,5,2015,Camden,30345
454,6,2015,Croydon,29332
455,7,2015,Ealing,27012
456,8,2015,Enfield,22842
457,9,2015,Greenwich,21614
458,10,2015,Hackney,27290
459,11,2015,Hammersmith and Fulham,20479
460,12,2015,Haringey,25483
461,13,2015,Harrow,12989
462,14,2015,Havering,16383
463,15,2015,Hillingdon,21981
464,16,2015,Hounslow,21797
465,17,2015,Islington,28163
466,18,2015,Kensington and Chelsea,19717
467,19,2015,Kingston upon Thames,10088
468,20,2015,Lambeth,34529
469,21,2015,Lewisham,24285
470,22,2015,Merton,12660
471,23,2015,Newham,30275
472,24,2015,Redbridge,19558
473,25,2015,Richmond upon Thames,10733
474,26,2015,Southwark,31210
475,27,2015,Sutton,10877
476,28,2015,Tower Hamlets,28593
477,29,2015,Waltham Forest,21643
478,30,2015,Wandsworth,23233
479,31,2015,Westminster,49024
480,32,2015,London,17180
481,33,2015,London,24623
482,34,2015,London,12346
483,35,2015,London,25628
484,36,2015,London,21100
485,37,2015,London,30345
486,38,2015,London,29332
487,39,2015,London,27012
488,40,2015,London,22842
489,41,2015,London,21614
490,42,2015,London,27290
491,43,2015,London,20479
492,44,2015,London,25483
493,45,2015,London,12989
494,46,2015,London,16383
495,47,2015,London,21981
496,48,2015,London,21797
497,49,2015,London,28163
498,50,2015,London,19717
499,51,2015,London,10088
500,52,2015,London,34529
501,53,2015,London,24285
502,54,2015,London,12660
503,55,2015,London,30275
504,56,2015,London,19558
505,57,2015,London,10733
506,58,2015,London,31210
507,59,2015,London,10877
508,60,2015,London,28593
509,61,2015,London,21643
510,62,2015,London,23233
511,63,2015,London,49024
512,0,2016,Barking and Dagenham,17690
513,1,2016,Barnet,25697
514,2,2016,Bexley,13420
515,3,2016,Brent,27630
516,4,2016,Bromley,20734
517,5,2016,Camden,30174
518,6,2016,Croydon,30199
519,7,2016,Ealing,27942
520,8,2016,Enfield,23288
521,9,2016,Greenwich,23531
522,10,2016,Hackney,29132
523,11,2016,Hammersmith and Fulham,20899
524,12,2016,Haringey,28217
525,13,2016,Harrow,13593
526,14,2016,Havering,17471
527,15,2016,Hillingdon,22738
528,16,2016,Hounslow,22858
529,17,2016,Islington,27852
530,18,2016,Kensington and Chelsea,20256
531,19,2016,Kingston upon Thames,10359
532,20,2016,Lambeth,35442
533,21,2016,Lewisham,24928
534,22,2016,Merton,13227
535,23,2016,Newham,31167
536,24,2016,Redbridge,20185
537,25,2016,Richmond upon Thames,11448
538,26,2016,Southwark,32502
539,27,2016,Sutton,11030
540,28,2016,Tower Hamlets,30638
541,29,2016,Waltham Forest,21460
542,30,2016,Wandsworth,24690
543,31,2016,Westminster,50212
544,32,2016,London,17690
545,33,2016,London,25697
546,34,2016,London,13420
547,35,2016,London,27630
548,36,2016,London,20734
