,Borough,Major Category,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
284,Enfield,Theft and Handling,48,49,53,45,56,72,72,48,52,69,55,58
285,Enfield,Theft and Handling,226,225,222,253,211,241,311,270,261,291,295,284
286,Enfield,Theft and Handling,128,120,124,116,110,120,98,111,122,110,97,67
287,Enfield,Theft and Handling,148,146,136,181,124,129,116,135,159,149,135,152
288,Enfield,Theft and Handling,15,11,5,12,18,19,29,22,27,15,15,14
289,Enfield,Violence Against the Person,137,119,176,103,153,150,131,128,121,136,156,139
290,Enfield,Violence Against the Person,182,149,165,184,233,190,208,198,179,176,190,218
291,Enfield,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
292,Enfield,Violence Against the Person,205,178,221,254,263,295,287,251,224,268,290,227
293,Enfield,Violence Against the Person,0,0,1,0,0,1,0,1,0,0,0,1
294,Enfield,Violence Against the Person,13,16,19,14,32,15,12,20,19,22,18,19
295,Enfield,Violence Against the Person,28,24,31,47,32,38,65,32,50,44,34,54
296,Enfield,Violence Against the Person,59,58,70,57,71,82,74,57,67,71,76,72
297,Greenwich,Burglary,200,148,115,116,120,94,114,153,160,169,235,202
298,Greenwich,Burglary,73,77,87,96,95,91,87,92,72,102,92,106
299,Greenwich,Criminal Damage,38,38,44,37,54,50,47,46,46,36,48,36
300,Greenwich,Criminal Damage,73,55,60,71,73,79,67,67,69,58,48,65
301,Greenwich,Criminal Damage,10,19,10,13,17,17,13,13,14,15,10,15
302,Greenwich,Criminal Damage,55,50,45,62,61,39,55,49,68,78,73,78
303,Greenwich,Drugs,13,13,11,6,3,6,6,5,7,5,4,4
304,Greenwich,Drugs,0,0,0,0,0,1,0,0,0,0,0,0
305,Greenwich,Drugs,45,64,73,73,93,56,61,66,65,65,46,66
306,Greenwich,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
307,Greenwich,Fraud or Forgery,4,4,3,7,5,3,6,5,3,4,2,0
308,Greenwich,Other Notifiable Offences,2,1,0,2,0,0,2,1,0,0,0,2
309,Greenwich,Other Notifiable Offences,52,50,61,55,54,52,61,39,57,62,36,61
310,Greenwich,Robbery,9,6,3,3,4,9,6,6,4,4,5,9
311,Greenwich,Robbery,53,35,27,38,49,55,58,39,55,47,48,72
312,Greenwich,Sexual Offences,42,28,33,45,38,46,36,24,37,39,23,43
313,Greenwich,Sexual Offences,23,21,24,32,24,25,26,28,21,26,16,21
314,Greenwich,Theft and Handling,3,2,4,0,5,1,2,3,2,1,1,1
315,Greenwich,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
316,Greenwich,Theft and Handling,216,226,229,242,250,227,223,266,277,255,239,247
317,Greenwich,Theft and Handling,35,42,41,34,28,38,51,42,41,37,57,47
318,Greenwich,Theft and Handling,150,115,134,172,152,133,147,136,202,186,171,192
319,Greenwich,Theft and Handling,143,112,134,144,150,171,111,117,121,131,134,96
320,Greenwich,Theft and Handling,78,88,61,90,102,105,121,93,94,110,90,99
321,Greenwich,Theft and Handling,27,12,13,24,29,34,34,44,37,40,29,22
322,Greenwich,Violence Against the Person,137,124,148,165,190,175,180,159,179,164,158,154
323,Greenwich,Violence Against the Person,203,172,202,178,228,226,264,201,199,232,247,216
324,Greenwich,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
325,Greenwich,Violence Against the Person,242,192,270,284,284,332,346,276,273,269,286,244
326,Greenwich,Violence Against the Person,0,1,1,2,0,1,1,1,1,1,0,2
327,Greenwich,Violence Against the Person,18,7,17,9,27,21,15,12,12,20,16,10
328,Greenwich,Violence Against the Person,28,23,31,29,41,46,39,30,38,40,40,42
329,Greenwich,Violence Against the Person,82,46,67,60,78,79,86,73,77,72,69,96
330,Hackney,Burglary,185,131,143,175,191,200,209,217,195,219,259,228
331,Hackney,Burglary,99,76,110,98,101,102,128,130,118,130,115,103
332,Hackney,Criminal Damage,36,25,42,39,31,38,31,30,33,24,42,36
333,Hackney,Criminal Damage,51,41,39,42,59,56,70,39,52,42,40,60
334,Hackney,Criminal Damage,15,23,16,20,19,12,16,21,13,18,13,16
335,Hackney,Criminal Damage,59,65,44,51,55,56,55,55,58,65,54,57
336,Hackney,Drugs,10,9,5,11,12,6,6,4,19,7,5,4
337,Hackney,Drugs,1,0,0,0,2,3,0,1,1,0,0,0
338,Hackney,Drugs,140,90,109,119,128,95,71,97,114,114,145,131
339,Hackney,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
340,Hackney,Fraud or Forgery,4,3,5,3,10,6,4,1,2,3,3,4
341,Hackney,Other Notifiable Offences,0,1,0,2,5,1,0,0,4,4,5,3
342,Hackney,Other Notifiable Offences,41,32,51,42,47,34,53,38,47,33,43,40
343,Hackney,Robbery,8,7,8,13,11,3,9,13,11,5,10,11
344,Hackney,Robbery,99,85,107,136,110,135,136,108,129,163,149,138
345,Hackney,Sexual Offences,41,38,44,36,52,39,38,46,39,28,34,43
346,Hackney,Sexual Offences,23,23,33,19,24,22,35,24,26,36,23,15
347,Hackney,Theft and Handling,3,3,2,5,4,1,1,3,4,0,3,1
348,Hackney,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
349,Hackney,Theft and Handling,298,274,282,334,330,313,327,346,360,356,353,365
350,Hackney,Theft and Handling,190,152,161,201,156,183,145,175,191,279,192,231
