,Borough,Major Category,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
1037,Westminster,Robbery,178,172,201,202,261,234,281,235,259,292,325,401
1038,Westminster,Sexual Offences,69,49,61,49,46,69,71,75,54,61,70,55
1039,Westminster,Sexual Offences,46,41,33,57,57,65,52,52,34,32,31,30
1040,Westminster,Theft and Handling,16,4,9,6,11,7,2,3,3,5,6,5
1041,Westminster,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
1042,Westminster,Theft and Handling,1062,1002,1072,976,1148,1098,1332,1241,1261,1445,1608,1859
1043,Westminster,Theft and Handling,710,761,884,678,810,810,943,737,685,875,1156,1494
1044,Westminster,Theft and Handling,258,212,225,258,207,267,243,223,258,316,290,274
1045,Westminster,Theft and Handling,429,392,368,384,351,335,296,387,363,383,408,365
1046,Westminster,Theft and Handling,80,63,60,59,50,62,67,68,70,76,54,36
1047,Westminster,Theft and Handling,79,68,77,83,108,110,152,145,154,134,92,73
1048,Westminster,Violence Against the Person,167,147,170,177,191,195,218,225,189,198,201,250
1049,Westminster,Violence Against the Person,320,272,312,292,335,356,364,355,329,354,372,434
1050,Westminster,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
1051,Westminster,Violence Against the Person,354,344,346,388,415,428,446,389,414,391,388,386
1052,Westminster,Violence Against the Person,0,1,0,0,0,0,0,0,0,0,0,0
1053,Westminster,Violence Against the Person,34,24,23,38,29,29,33,46,28,30,24,41
1054,Westminster,Violence Against the Person,85,67,61,57,88,70,79,83,36,43,37,38
1055,Westminster,Violence Against the Person,75,79,105,87,121,104,130,103,112,106,108,109
